Employer,CEO,CEO_Pay,Worker_Pay,Ratio,Rating,CEO_Pay_TT,Industry
Discovery Comm.,David M. Zaslav,95000000,80000,1951,3.8,156077912,Communication Services
Chipotle,Steve Ells,28924270,19000,1522,3.4,28924270,Consumer
CVS Health,Larry J. Merlo,32350733,27139,1192,2.7,32350733,Health Care
Walmart,C. Douglas McMillon,25592938,22591,1133,3,25592938,Consumer
Target,Brian C. Cornell,28164024,30000,939,3.2,28164024,Consumer
CBS Corp,Leslie Moonves,57175645,66365,862,3.5,57175645,Communication Services
Macy's,Terry J. Lundgren,16497220,22800,724,3,16497220,Consumer
Starbucks,Howard D. Schultz,21466454,32080,669,3.8,21466454,Consumer
Kroger,W. Rodney McMullen,12987582,20420,636,3,12987582,Consumer
Time Warner Cable,Robert D. Marcus,34615597,55006,629,3.3,34615597,Communication Services
Microsoft,Satya Nadella,84308755,137000,615,3.8,84308755,Information Technology
Walt Disney Co.,Robert A. Iger,46497018,79211,587,3.8,46497018,Communication Services
Oracle,Lawrence J. Ellison,67261251,117415,573,3.3,67261251,Information Technology
Comcast,Brian L. Roberts,32961056,59745,552,3.2,32961056,Communication Services
UPS,D. Scott Davis,16994449,31880,533,3.5,16994449,Industrials
Polo Ralph Lauren,Ralph Lauren,24537936,47452,517,3.3,24537936,Consumer
Qualcomm,Steven M. Mollenkopf,60740592,121249,501,3.7,60740592,Information Technology
Staples,Ronald L. Sargent,12391537,25407,488,3,12391537,Consumer
Marriott,Arne M. Sorenson,14892836,30620,486,3.7,14892836,Consumer
Wells Fargo,John G. Stumpf,21426391,44265,484,3.3,21426391,Financials
Coca-Cola Company,Muhtar Kent,25224422,54804,460,3.3,25224422,Consumer
U.S. Bank,Richard K. Davis,19373076,43525,445,3.3,19373076,Financials
J.P. Morgan,James Dimon,27701709,65344,424,3.5,27701709,Financials
GE,Jeffrey R. Immelt,37250774,89186,418,3.8,37250774,Industrials
McDonald's,Donald Thompson,7288578,17620,414,3,7288578,Consumer
Lockheed Martin,Marillyn A. Hewson,33687442,85465,394,3.5,33687442,Industrials
Union Pacific,John J. Koraleski,28144047,73351,384,3.5,28144047,Industrials
NIKE,Mark G. Parker,16819730,44073,382,4,16819730,Consumer
Time Warner,Jeffrey L. Bewkes,32903139,87916,374,3.6,32903139,Communication Services
PepsiCo,Indra K. Nooyi,22485574,61876,363,3.5,22485574,Consumer
AT&T,Randall L. Stephenson,23984315,67302,356,3.3,23984315,Communication Services
PPG,Charles E. Bunch,21628081,60895,355,3.1,21628081,Materials
GameStop,J. Paul Raines,8604576,24880,346,3.1,8604576,Consumer
Boeing,W. James McNerney,28861920,84974,340,3.5,28861920,Industrials
Delta Air Lines,Richard H. Anderson,17589867,54804,321,4,17589867,Industrials
Xerox,Ursula M. Burns,22205362,69307,320,2.5,22205362,Information Technology
Omnicom,John D. Wren,24014697,76493,314,3.9,24014697,Communication Services
Yahoo,Marissa A. Mayer,42083508,137011,307,3.5,42083508,Information Technology
ExxonMobil,R.W. Tillerson,33096312,108000,306,3.7,33096312,Energy
Hess Corporation,"Hess, John B.",22459530,75883,296,3.6,22459530,Energy
Goodyear,Richard J. Kramer,17853097,61260,291,3.4,17853097,Consumer
LabCorp,David P. King,10472562,35970,291,2.9,10472562,Health Care
Bank of America,Brian T. Moynihan,15342399,52923,290,3.3,15342399,Financials
Lennar,Stuart A. Miller,17909543,63000,284,3,17909543,Consumer
Allstate,Thomas J. Wilson,15641385,56155,279,3.4,15641385,Financials
John Deere,Samuel R. Allen,20273296,74573,272,3.8,20273296,Industrials
Phillips 66,Greg C. Garland,24508433,92065,266,3.8,24508433,Energy
Tesoro Corporation,Gregory J. Goff,20855549,79015,264,3.5,20855549,Energy
Halliburton,David J. Lesar,20560157,79045,260,3.3,20560157,Energy
Alcoa,Klaus-Christian Kleinfeld,18158522,70158,259,3.2,18158522,Materials
Tenet Healthcare,Trevor Fetter,17950107,69714,257,3,17950107,Health Care
Assurant,Robert B. Pollock,11903533,46961,253,3.2,11903533,Financials
Apple,Timothy D. Cook,9222638,36760,251,4,9222638,Information Technology
Johnson Controls,Alex A. Molinaroli,19540681,77724,251,3.3,19540681,Industrials
