demID	demTitle	n1	n1.1	n10	n10.1	n10.2	n10.3	n10.4	n11	n12	n13	n14	n15	n16	n2	n3	n4	n5	n5.1	n6	n7	n8	n9
0	Everyone	0.776	8.602	0.734	0.71	0.267	2.77	0.142	0.331	0.143	0.147	0.127	1.197	0.173	1.768	0.449	0.165	3.418	0.036	0.438	0.383	0.102	1.11
1	Men	0.645	8.564	0.746	0.658	0.272	3.013	0.147	0.446	0.118	0.138	0.072	1.227	0.135	1.32	0.297	0.122	4.105	0.051	0.392	0.282	0.076	1.152
2	Women	0.9	8.638	0.723	0.758	0.262	2.542	0.136	0.222	0.165	0.153	0.18	1.164	0.21	2.188	0.59	0.197	2.771	0.021	0.482	0.475	0.124	1.072
3	Employed	0.767	8.314	0.536	0.627	0.184	2.222	0.11	0.317	0.118	0.138	0.094	1.319	0.128	1.49	0.436	0.134	5.204	0.012	0.31	0.358	0.08	1.085
4	Unemployed	0.689	9.206	0.79	1.108	0.225	3.077	0.239	0.448	0.154	0.143	0.253	1.085	0.29	2.262	0.625	0.249	0.089	0.497	1.078	0.46	0.044	0.991
5	Not in labor force	0.813	9.134	1.159	0.821	0.459	3.931	0.193	0.345	0.192	0.168	0.181	0.945	0.254	2.293	0.451	0.211	0.052	0.006	0.607	0.42	0.159	1.189
6	White	0.752	8.5	0.852	0.701	0.228	2.703	0.153	0.354	0.118	0.162	0.118	1.189	0.178	1.849	0.424	0.181	3.454	0.027	0.384	0.385	0.101	1.162
7	Black	0.939	8.845	0.466	0.778	0.433	3.62	0.119	0.266	0.285	0.165	0.235	1.132	0.184	1.325	0.367	0.137	2.908	0.076	0.436	0.311	0.138	0.823
8	Hispanic	0.754	8.93	0.409	0.732	0.324	2.567	0.085	0.291	0.13	0.062	0.078	1.265	0.156	1.775	0.599	0.12	3.525	0.05	0.59	0.411	0.08	1.045
9	Age 15-24	0.788	9.2	0.838	0.904	0.161	2.179	0.204	0.603	0.077	0.086	0.226	1.242	0.163	0.898	0.281	0.159	2.586	0.031	2.03	0.346	0.053	0.943
10	Age 25 to 64	0.765	8.369	0.533	0.662	0.218	2.6	0.132	0.278	0.134	0.145	0.094	1.255	0.159	1.847	0.591	0.155	4.297	0.046	0.122	0.39	0.097	1.087
11	Age 65 or over	0.801	8.943	1.412	0.683	0.581	4.091	0.119	0.256	0.253	0.227	0.159	0.888	0.245	2.376	0.062	0.175	0.768	0.001	0.019	0.376	0.18	1.372
12	High school grads	0.774	8.534	0.74	0.717	0.263	3.026	0.133	0.274	0.139	0.144	0.128	1.167	0.169	1.864	0.416	0.19	3.425	0.033	0.272	0.395	0.092	1.092
13	Bachelor's degree	0.783	8.267	0.739	0.651	0.191	2.132	0.148	0.333	0.147	0.163	0.11	1.374	0.17	1.757	0.567	0.149	4.342	0.04	0.204	0.393	0.128	1.193
14	Advanced degree	0.716	8.198	0.82	0.587	0.137	1.886	0.16	0.408	0.16	0.239	0.099	1.392	0.213	1.866	0.648	0.119	4.299	0.047	0.094	0.43	0.14	1.326
15	No kids	0.808	8.604	0.888	0.7	0.303	3.14	0.155	0.297	0.151	0.154	0.126	1.157	0.176	1.828	0.038	0.203	3.337	0.024	0.221	0.383	0.117	1.172
16	One child	0.767	8.431	0.488	0.7	0.23	2.445	0.086	0.254	0.12	0.112	0.129	1.246	0.139	1.758	0.923	0.116	4.229	0.066	0.233	0.399	0.087	1.032
17	Two+ children	0.675	8.371	0.351	0.659	0.234	2.199	0.083	0.271	0.155	0.143	0.065	1.298	0.177	2.005	1.433	0.081	4.032	0.061	0.144	0.402	0.084	1.06
