minuteNum:int	time:String
1	4:00 a.m.
2	4:10 a.m.
3	4:20 a.m.
4	4:30 a.m.
5	4:40 a.m.
6	4:50 a.m.
7	5:00 a.m.
8	5:10 a.m.
9	5:20 a.m.
10	5:30 a.m.
11	5:40 a.m.
12	5:50 a.m.
13	6:00 a.m.
14	6:10 a.m.
15	6:20 a.m.
16	6:30 a.m.
17	6:40 a.m.
18	6:50 a.m.
19	7:00 a.m.
20	7:10 a.m.
21	7:20 a.m.
22	7:30 a.m.
23	7:40 a.m.
24	7:50 a.m.
25	8:00 a.m.
26	8:10 a.m.
27	8:20 a.m.
28	8:30 a.m.
29	8:40 a.m.
30	8:50 a.m.
31	9:00 a.m.
32	9:10 a.m.
33	9:20 a.m.
34	9:30 a.m.
35	9:40 a.m.
36	9:50 a.m.
37	10:00 a.m.
38	10:10 a.m.
39	10:20 a.m.
40	10:30 a.m.
41	10:40 a.m.
42	10:50 a.m.
43	11:00 a.m.
44	11:10 a.m.
45	11:20 a.m.
46	11:30 a.m.
47	11:40 a.m.
48	11:50 a.m.
49	Noon
50	12:10 p.m.
51	12:20 p.m.
52	12:30 p.m.
53	12:40 p.m.
54	12:50 p.m.
55	1:00 p.m.
56	1:10 p.m.
57	1:20 p.m.
58	1:30 p.m.
59	1:40 p.m.
60	1:50 p.m.
61	2:00 p.m.
62	2:10 p.m.
63	2:20 p.m.
64	2:30 p.m.
65	2:40 p.m.
66	2:50 p.m.
67	3:00 p.m.
68	3:10 p.m.
69	3:20 p.m.
70	3:30 p.m.
71	3:40 p.m.
72	3:50 p.m.
73	4:00 p.m.
74	4:10 p.m.
75	4:20 p.m.
76	4:30 p.m.
77	4:40 p.m.
78	4:50 p.m.
79	5:00 p.m.
80	5:10 p.m.
81	5:20 p.m.
82	5:30 p.m.
83	5:40 p.m.
84	5:50 p.m.
85	6:00 p.m.
86	6:10 p.m.
87	6:20 p.m.
88	6:30 p.m.
89	6:40 p.m.
90	6:50 p.m.
91	7:00 p.m.
92	7:10 p.m.
93	7:20 p.m.
94	7:30 p.m.
95	7:40 p.m.
96	7:50 p.m.
97	8:00 p.m.
98	8:10 p.m.
99	8:20 p.m.
100	8:30 p.m.
101	8:40 p.m.
102	8:50 p.m.
103	9:00 p.m.
104	9:10 p.m.
105	9:20 p.m.
106	9:30 p.m.
107	9:40 p.m.
108	9:50 p.m.
109	10:00 p.m.
110	10:10 p.m.
111	10:20 p.m.
112	10:30 p.m.
113	10:40 p.m.
114	10:50 p.m.
115	11:00 p.m.
116	11:10 p.m.
117	11:20 p.m.
118	11:30 p.m.
119	11:40 p.m.
120	11:50 p.m.
121	Midnight
122	12:10 a.m.
123	12:20 a.m.
124	12:30 a.m.
125	12:40 a.m.
126	12:50 a.m.
127	1:00 a.m.
128	1:10 a.m.
129	1:20 a.m.
130	1:30 a.m.
131	1:40 a.m.
132	1:50 a.m.
133	2:00 a.m.
134	2:10 a.m.
135	2:20 a.m.
136	2:30 a.m.
137	2:40 a.m.
138	2:50 a.m.
139	3:00 a.m.
140	3:10 a.m.
141	3:20 a.m.
142	3:30 a.m.
143	3:40 a.m.
144	3:50 a.m.
