Name,Population,Unemployment_rate,Medium_Household_Income,Poverty_level
Census Tract 1,7963,6.9,50030,15.9
Census Tract 2,7973,6,67397,9.1
Census Tract 3,2822,2.5,73098,14.1
Census Tract 4.01,6721,4.9,32568,22.2
Census Tract 4.02,5300,3.8,64972,7.9
Census Tract 5,3052,2.3,135524,3.9
Census Tract 6,8061,3.1,61536,14.6
Census Tract 7,4854,2.5,52957,17.5
Census Tract 8,2582,2.5,97344,9
Census Tract 9,2582,2.5,97344,9
Census Tract 10,1982,8.6,103750,15.2
Census Tract 11,2791,2.8,78542,10.3
Census Tract 12,7024,8.5,46358,21.2
Census Tract 13,4468,2.3,70764,7.9
Census Tract 14,5550,3.6,71144,10.1
Census Tract 15,2548,2.5,96019,5.6
Census Tract 16,4603,3.8,117250,6.4
Census Tract 17.01,4004,7.2,69190,13.4
Census Tract 17.02,4832,4.5,69177,12.4
Census Tract 18,5380,5.5,89260,13.2
Census Tract 19,4777,8.2,75652,11.8
Census Tract 20,3814,4.2,95259,9.1
Census Tract 21,4210,4.2,95515,8.9
Census Tract 22,5764,3.9,144318,2.4
Census Tract 24,3180,5.8,109402,5.2
Census Tract 25,3316,2.9,107401,8.3
Census Tract 26,5061,4.5,106193,11.7
Census Tract 27,6155,1.6,121807,7.7
Census Tract 28,4854,1,119875,7.2
Census Tract 29,4744,5.3,104375,3.2
Census Tract 30,5940,3.2,100500,6.5
Census Tract 31,6457,2.6,104934,4.2
Census Tract 32,8504,4,79141,9.6
Census Tract 33,6987,4.5,99547,4
Census Tract 34,3661,2.9,102105,5.6
Census Tract 35,4051,2.1,90066,8.8
Census Tract 36,4051,2.1,90066,8.8
Census Tract 38,2151,3.3,99722,6.5
Census Tract 39,3034,2.9,109657,7.5
Census Tract 40,3198,3.8,76250,12.9
Census Tract 41,7920,3.9,168415,7
Census Tract 42,8458,3.1,129226,4.5
Census Tract 43.01,3644,3.8,85357,20.9
Census Tract 43.02,3854,13.2,26886,50.2
Census Tract 44,7314,7.1,56725,34
Census Tract 45,3157,4.1,108304,17.5
Census Tract 46,3675,4.8,125547,5.2
Census Tract 47,8649,5.1,79162,7
Census Tract 48,5136,4.1,112328,3.6
Census Tract 49,7429,3.3,77075,5.1
Census Tract 50,4194,3.5,79980,5.5
Census Tract 51,3678,3.6,105580,8.2
Census Tract 52,7041,5.6,41847,39
Census Tract 53.01,7041,5.6,79565,39
Census Tract 53.02,4717,24.4,10521,57.7
Census Tract 54,5688,1.8,95703,8.8
Census Tract 56,6875,4.8,167386,2.1
Census Tract 57,6818,2.8,111974,4.1
Census Tract 58.01,5344,3.3,75523,7.5
Census Tract 58.02,5680,5.2,73836,9.9
Census Tract 59,7975,6.1,103369,12.4
Census Tract 60,5785,2.9,101680,8
Census Tract 61,5316,1,104521,4.3
Census Tract 62,4416,2.7,160625,4.9
Census Tract 63,5510,4.7,134811,4.9
Census Tract 64,3573,4.6,162535,4.5
Census Tract 65,4807,4.4,96220,2.3
Census Tract 66,4092,3.7,88574,7.4
Census Tract 67,8688,4.4,106143,5.1
Census Tract 68,3304,2.8,117067,6.3
Census Tract 69,4964,1.8,109792,4.7
Census Tract 70,7329,2,73317,7
Census Tract 71,4521,1.8,81454,8.7
Census Tract 72,8862,1.8,98324,8.5
Census Tract 73,6613,9.9,94326,13.6
Census Tract 74.01,5193,3.1,65217,8.6
Census Tract 74.02,5362,2.5,51225,19.6
Census Tract 75,8753,2.1,65296,14.8
Census Tract 76,4257,5.6,74688,12.4
Census Tract 77,5308,3.9,113198,5.6
Census Tract 78,5875,2.6,155548,6.6
Census Tract 79,6339,2.7,76652,15.5
Census Tract 80.01,6538,5.4,98250,10
Census Tract 80.02,3744,4.3,55136,22.8
Census Tract 81,4872,6.3,79800,24.9
Census Tract 82,4212,5.5,79167,11
Census Tract 83,3087,1.8,61058,13.4
Census Tract 84,4530,1.7,52066,12
Census Tract 85,4296,4.5,38713,25.5
Census Tract 86,4296,4.5,50779,25.5
Census Tract 87,4727,4.4,69583,20.3
Census Tract 88,4236,4.2,95455,10.7
Census Tract 89,5729,2.5,87250,12.7
Census Tract 90,3675,5.1,47428,19.3
Census Tract 91,2420,8.8,31250,18.4
Census Tract 92,2869,8.7,21868,30.6
Census Tract 93,2665,4.3,74696,17.7
Census Tract 94,6754,6.3,65633,20
Census Tract 95,6614,2.6,100714,10.9
Census Tract 96,5783,3.5,92888,2.4
Census Tract 97.01,6254,1.8,106821,3.8
Census Tract 97.02,5551,1.1,114741,4.8
Census Tract 98,7326,2.1,105110,7
Census Tract 99,5675,7.1,75000,8.7
Census Tract 100.01,4276,10.9,67292,13.5
Census Tract 100.02,4817,3.7,70048,7.5
Census Tract 101,8025,7.1,64161,18.7
Census Tract 102,4570,4,99483,3.7
Census Tract 103,7084,10.4,60444,24.4
Census Tract 104.01,4303,12.2,58342,17.9
Census Tract 104.02,4938,6.4,75972,11.3
Census Tract 105,4938,6.4,77760,11.3
Census Tract 106,8328,4.1,90306,5.3
Census Tract 107.01,3736,13.7,62826,23.9
Census Tract 107.02,4600,9.7,41416,33.6
Census Tract 108,4970,7.1,85885,11.9
Census Tract 109,1045,6.8,58611,7.8
Census Tract 110.01,4677,9.2,24725,44.3
Census Tract 110.02,4957,6,51031,36.7
Census Tract 111.01,4957,6,51031,36.7
Census Tract 111.02,4957,6,51031,36.7
Census Tract 112,3719,11.7,35120,36.5
Census Tract 113,7054,3.6,55000,7.5
Census Tract 114.01,4253,6,62090,15.2
Census Tract 114.02,4371,9.6,50377,14.1
Census Tract 115,4421,4,90701,6.1
Census Tract 116,6899,1.3,103835,7
Census Tract 117,5679,7.5,79211,12.6
Census Tract 118,8415,10.4,48264,26.6
Census Tract 119,7597,4.7,86603,13.8
Census Tract 120,3615,2,100855,6
Census Tract 121,2663,3.7,115000,1.3
Census Tract 260.01,5950,4.3,86318,4.9
Census Tract 264,6174,3.8,50773,10.4
Census Tract 265,4236,9.2,32106,32.6
Census Tract 9901,4236,9.2,32106,32.6
